Byte 1;Byte 2;Byte 3;;Byte 1 Bin;Byte 2 Bin;Byte 3 Bin
0;129;0;;00000000;10000001;00000000
1;129;0;;00000001;10000001;00000000
2;129;0;;00000010;10000001;00000000
3;129;0;;00000011;10000001;00000000
4;129;0;;00000100;10000001;00000000
5;129;0;;00000101;10000001;00000000
6;129;0;;00000110;10000001;00000000
7;129;0;;00000111;10000001;00000000
8;129;0;;00001000;10000001;00000000
9;129;0;;00001001;10000001;00000000
10;129;0;;00001010;10000001;00000000
11;129;0;;00001011;10000001;00000000
12;129;0;;00001100;10000001;00000000
13;129;0;;00001101;10000001;00000000
14;129;0;;00001110;10000001;00000000
15;129;0;;00001111;10000001;00000000
16;129;0;;00010000;10000001;00000000
17;129;0;;00010001;10000001;00000000
18;129;0;;00010010;10000001;00000000
19;129;0;;00010011;10000001;00000000
20;129;0;;00010100;10000001;00000000
21;129;0;;00010101;10000001;00000000
22;129;0;;00010110;10000001;00000000
23;129;0;;00010111;10000001;00000000
24;129;0;;00011000;10000001;00000000
25;129;0;;00011001;10000001;00000000
26;129;0;;00011010;10000001;00000000
27;129;0;;00011011;10000001;00000000
28;129;0;;00011100;10000001;00000000
29;129;0;;00011101;10000001;00000000
30;129;0;;00011110;10000001;00000000
31;129;0;;00011111;10000001;00000000
32;129;0;;00100000;10000001;00000000
33;129;0;;00100001;10000001;00000000
34;129;0;;00100010;10000001;00000000
35;129;0;;00100011;10000001;00000000
36;129;0;;00100100;10000001;00000000
37;129;0;;00100101;10000001;00000000
38;129;0;;00100110;10000001;00000000
39;129;0;;00100111;10000001;00000000
40;129;0;;00101000;10000001;00000000
41;129;0;;00101001;10000001;00000000
42;129;0;;00101010;10000001;00000000
43;129;0;;00101011;10000001;00000000
44;129;0;;00101100;10000001;00000000
45;129;0;;00101101;10000001;00000000
46;129;0;;00101110;10000001;00000000
47;129;0;;00101111;10000001;00000000
48;129;0;;00110000;10000001;00000000
49;129;0;;00110001;10000001;00000000
50;129;0;;00110010;10000001;00000000
51;129;0;;00110011;10000001;00000000
52;129;0;;00110100;10000001;00000000
53;129;0;;00110101;10000001;00000000
54;129;0;;00110110;10000001;00000000
55;129;0;;00110111;10000001;00000000
56;129;0;;00111000;10000001;00000000
57;129;0;;00111001;10000001;00000000
58;129;0;;00111010;10000001;00000000
59;129;0;;00111011;10000001;00000000
60;129;0;;00111100;10000001;00000000
61;129;0;;00111101;10000001;00000000
62;129;0;;00111110;10000001;00000000
