Byte 1;Byte 2;Byte 3
0;129;0
1;129;0
2;129;0
3;129;0
4;129;0
5;129;0
6;129;0
7;129;0
8;129;0
9;129;0
10;129;0
11;129;0
12;129;0
13;129;0
14;129;0
15;129;0
16;129;0
17;129;0
18;129;0
19;129;0
20;129;0
21;129;0
22;129;0
23;129;0
24;129;0
25;129;0
26;129;0
27;129;0
28;129;0
29;129;0
30;129;0
31;129;0
32;129;0
33;129;0
34;129;0
35;129;0
36;129;0
37;129;0
38;129;0
39;129;0
40;129;0
41;129;0
42;129;0
43;129;0
44;129;0
45;129;0
46;129;0
47;129;0
48;129;0
49;129;0
50;129;0
51;129;0
52;129;0
53;129;0
54;129;0
55;129;0
56;129;0
57;129;0
58;129;0
59;129;0
60;129;0
61;129;0
62;129;0
63;129;0
64;129;0
65;129;0
66;129;0
67;129;0
68;129;0
69;129;0
70;129;0
71;129;0
72;129;0
73;129;0
74;129;0
75;129;0
76;129;0
77;129;0
78;129;0
79;129;0
80;129;0
81;129;0
82;129;0
83;129;0
84;129;0
85;129;0
86;129;0
87;129;0
88;129;0
89;129;0
90;129;0
91;129;0
92;129;0
93;129;0
94;129;0
95;129;0
96;129;0
97;129;0
98;129;0
99;129;0
100;129;0
101;129;0
102;129;0
103;129;0
104;129;0
105;129;0
106;129;0
107;129;0
108;129;0
109;129;0
110;129;0
111;129;0
112;129;0
113;129;0
114;129;0
115;129;0
116;129;0
117;129;0
118;129;0
119;129;0
120;129;0
121;129;0
122;129;0
123;129;0
124;129;0
125;129;0
126;129;0
127;129;0
0;145;0
1;145;0
2;145;0
3;145;0
4;145;0
5;145;0
6;145;0
7;145;0
8;145;0
9;145;0
10;145;0
11;145;0
12;145;0
13;145;0
14;145;0
15;145;0
16;145;0
17;145;0
18;145;0
19;145;0
20;145;0
21;145;0
22;145;0
23;145;0
24;145;0
25;145;0
26;145;0
27;145;0
28;145;0
29;145;0
30;145;0
31;145;0
32;145;0
33;145;0
34;145;0
35;145;0
36;145;0
37;145;0
38;145;0
39;145;0
40;145;0
41;145;0
42;145;0
43;145;0
44;145;0
45;145;0
46;145;0
47;145;0
48;145;0
49;145;0
50;145;0
51;145;0
52;145;0
53;145;0
54;145;0
55;145;0
56;145;0
57;145;0
58;145;0
59;145;0
60;145;0
61;145;0
62;145;0
63;145;0
64;145;0
65;145;0
66;145;0
67;145;0
68;145;0
69;145;0
70;145;0
71;145;0
72;145;0
73;145;0
74;145;0
75;145;0
76;145;0
77;145;0
78;145;0
79;145;0
80;145;0
81;145;0
82;145;0
83;145;0
84;145;0
85;145;0
86;145;0
87;145;0
88;145;0
89;145;0
90;145;0
91;145;0
92;145;0
93;145;0
94;145;0
95;145;0
96;145;0
97;145;0
98;145;0
99;145;0
100;145;0
101;145;0
102;145;0
103;145;0
104;145;0
105;145;0
106;145;0
107;145;0
108;145;0
109;145;0
110;145;0
111;145;0
112;145;0
113;145;0
114;145;0
115;145;0
116;145;0
117;145;0
118;145;0
119;145;0
120;145;0
121;145;0
122;145;0
123;145;0
124;145;0
125;145;0
126;145;0
127;145;0
0;161;0
1;161;0
2;161;0
3;161;0
4;161;0
5;161;0
6;161;0
7;161;0
8;161;0
9;161;0
10;161;0
11;161;0
12;161;0
13;161;0
14;161;0
15;161;0
16;161;0
17;161;0
18;161;0
19;161;0
20;161;0
21;161;0
22;161;0
23;161;0
24;161;0
25;161;0
26;161;0
27;161;0
28;161;0
29;161;0
30;161;0
31;161;0
32;161;0
33;161;0
34;161;0
35;161;0
36;161;0
37;161;0
38;161;0
39;161;0
40;161;0
41;161;0
42;161;0
43;161;0
44;161;0
45;161;0
46;161;0
47;161;0
48;161;0
49;161;0
50;161;0
51;161;0
52;161;0
53;161;0
54;161;0
55;161;0
56;161;0
57;161;0
58;161;0
59;161;0
60;161;0
61;161;0
62;161;0
63;161;0
64;161;0
65;161;0
66;161;0
67;161;0
68;161;0
69;161;0
70;161;0
71;161;0
72;161;0
73;161;0
74;161;0
75;161;0
76;161;0
77;161;0
78;161;0
79;161;0
80;161;0
81;161;0
82;161;0
83;161;0
84;161;0
85;161;0
86;161;0
87;161;0
88;161;0
89;161;0
90;161;0
91;161;0
92;161;0
93;161;0
94;161;0
95;161;0
96;161;0
97;161;0
98;161;0
99;161;0
100;161;0
101;161;0
102;161;0
103;161;0
104;161;0
105;161;0
106;161;0
107;161;0
108;161;0
109;161;0
110;161;0
111;161;0
112;161;0
113;161;0
114;161;0
115;161;0
116;161;0
117;161;0
118;161;0
119;161;0
120;161;0
121;161;0
122;161;0
123;161;0
124;161;0
125;161;0
126;161;0
127;161;0
0;177;0
1;177;0
2;177;0
3;177;0
4;177;0
5;177;0
6;177;0
7;177;0
8;177;0
9;177;0
10;177;0
11;177;0
12;177;0
13;177;0
14;177;0
15;177;0
16;177;0
17;177;0
18;177;0
19;177;0
20;177;0
21;177;0
22;177;0
23;177;0
24;177;0
25;177;0
26;177;0
27;177;0
28;177;0
29;177;0
30;177;0
31;177;0
32;177;0
33;177;0
34;177;0
35;177;0
36;177;0
37;177;0
38;177;0
39;177;0
40;177;0
41;177;0
42;177;0
43;177;0
44;177;0
45;177;0
46;177;0
47;177;0
48;177;0
49;177;0
50;177;0
51;177;0
52;177;0
53;177;0
54;177;0
55;177;0
56;177;0
57;177;0
58;177;0
59;177;0
60;177;0
61;177;0
62;177;0
63;177;0
64;177;0
65;177;0
66;177;0
67;177;0
68;177;0
69;177;0
70;177;0
71;177;0
72;177;0
73;177;0
74;177;0
75;177;0
76;177;0
77;177;0
78;177;0
79;177;0
80;177;0
81;177;0
82;177;0
83;177;0
84;177;0
85;177;0
86;177;0
87;177;0
88;177;0
89;177;0
90;177;0
91;177;0
92;177;0
93;177;0
94;177;0
95;177;0
96;177;0
97;177;0
98;177;0
99;177;0
100;177;0
101;177;0
102;177;0
103;177;0
104;177;0
105;177;0
106;177;0
107;177;0
108;177;0
109;177;0
110;177;0
111;177;0
112;177;0
113;177;0
114;177;0
115;177;0
116;177;0
117;177;0
118;177;0
119;177;0
120;177;0
121;177;0
122;177;0
123;177;0
124;177;0
125;177;0
126;177;0
127;177;0
0;193;0
1;193;0
2;193;0
3;193;0
4;193;0
5;193;0
6;193;0
7;193;0
8;193;0
9;193;0
10;193;0
11;193;0
12;193;0
13;193;0
14;193;0
15;193;0
16;193;0
17;193;0
18;193;0
19;193;0
20;193;0
21;193;0
22;193;0
23;193;0
24;193;0
25;193;0
26;193;0
27;193;0
28;193;0
29;193;0
30;193;0
31;193;0
32;193;0
33;193;0
34;193;0
35;193;0
36;193;0
37;193;0
38;193;0
39;193;0
40;193;0
41;193;0
42;193;0
43;193;0
44;193;0
45;193;0
46;193;0
47;193;0
48;193;0
49;193;0
50;193;0
51;193;0
52;193;0
53;193;0
54;193;0
55;193;0
56;193;0
57;193;0
58;193;0
59;193;0
60;193;0
61;193;0
62;193;0
63;193;0
64;193;0
65;193;0
66;193;0
67;193;0
68;193;0
69;193;0
70;193;0
71;193;0
72;193;0
73;193;0
74;193;0
75;193;0
76;193;0
77;193;0
78;193;0
79;193;0
80;193;0
81;193;0
82;193;0
83;193;0
84;193;0
85;193;0
86;193;0
87;193;0
88;193;0
89;193;0
90;193;0
91;193;0
92;193;0
93;193;0
94;193;0
95;193;0
96;193;0
97;193;0
98;193;0
99;193;0
100;193;0
101;193;0
102;193;0
103;193;0
104;193;0
105;193;0
106;193;0
107;193;0
108;193;0
109;193;0
110;193;0
111;193;0
112;193;0
113;193;0
114;193;0
115;193;0
116;193;0
117;193;0
118;193;0
119;193;0
120;193;0
121;193;0
122;193;0
123;193;0
124;193;0
125;193;0
126;193;0
127;193;0
0;209;0
1;209;0
2;209;0
3;209;0
4;209;0
5;209;0
6;209;0
7;209;0
8;209;0
9;209;0
10;209;0
11;209;0
12;209;0
13;209;0
14;209;0
15;209;0
16;209;0
17;209;0
18;209;0
19;209;0
20;209;0
21;209;0
22;209;0
23;209;0
24;209;0
25;209;0
26;209;0
27;209;0
28;209;0
29;209;0
30;209;0
31;209;0
32;209;0
33;209;0
34;209;0
35;209;0
36;209;0
37;209;0
38;209;0
39;209;0
40;209;0
41;209;0
42;209;0
43;209;0
44;209;0
45;209;0
46;209;0
47;209;0
48;209;0
49;209;0
50;209;0
51;209;0
52;209;0
53;209;0
54;209;0
55;209;0
56;209;0
57;209;0
58;209;0
59;209;0
60;209;0
61;209;0
62;209;0
63;209;0
64;209;0
65;209;0
66;209;0
67;209;0
68;209;0
69;209;0
70;209;0
71;209;0
72;209;0
73;209;0
74;209;0
75;209;0
76;209;0
77;209;0
78;209;0
79;209;0
