framenumber,X Coord,Y Coord,Radius
1.0,68.0,420.0,122.76671600341797
2.0,94.0,392.0,303.0850524902344
3.0,94.0,392.0,303.0850524902344
4.0,94.0,392.0,303.0850524902344
5.0,94.0,392.0,303.0850524902344
6.0,94.0,392.0,303.0850524902344
7.0,94.0,392.0,303.0850524902344
8.0,94.0,392.0,303.0850524902344
9.0,94.0,392.0,303.0850524902344
10.0,103.0,404.0,257.48260498046875
11.0,103.0,404.0,257.48260498046875
12.0,103.0,404.0,257.48260498046875
13.0,103.0,404.0,257.48260498046875
14.0,103.0,404.0,257.48260498046875
15.0,103.0,404.0,257.48260498046875
16.0,103.0,404.0,257.48260498046875
17.0,103.0,404.0,257.48260498046875
18.0,103.0,404.0,257.48260498046875
19.0,103.0,404.0,257.48260498046875
20.0,66.0,423.0,126.98289489746094
21.0,66.0,423.0,126.98289489746094
22.0,66.0,423.0,126.98289489746094
23.0,66.0,423.0,126.98289489746094
24.0,66.0,423.0,126.98289489746094
25.0,66.0,423.0,126.98289489746094
26.0,66.0,423.0,126.98289489746094
27.0,66.0,423.0,126.98289489746094
28.0,66.0,423.0,126.98289489746094
29.0,66.0,423.0,126.98289489746094
30.0,66.0,423.0,126.98289489746094
31.0,69.0,410.0,123.13619995117188
32.0,69.0,410.0,123.13619995117188
33.0,69.0,410.0,123.13619995117188
34.0,69.0,410.0,123.13619995117188
35.0,69.0,410.0,123.13619995117188
36.0,69.0,410.0,123.13619995117188
37.0,69.0,410.0,123.13619995117188
38.0,69.0,410.0,123.13619995117188
39.0,69.0,410.0,123.13619995117188
40.0,69.0,410.0,123.13619995117188
41.0,69.0,410.0,123.13619995117188
42.0,96.0,386.0,309.4322204589844
43.0,96.0,386.0,309.4322204589844
44.0,96.0,386.0,309.4322204589844
45.0,96.0,386.0,309.4322204589844
46.0,96.0,386.0,309.4322204589844
47.0,96.0,386.0,309.4322204589844
48.0,96.0,386.0,309.4322204589844
49.0,96.0,386.0,309.4322204589844
50.0,96.0,386.0,309.4322204589844
51.0,96.0,386.0,309.4322204589844
52.0,66.0,422.0,128.88475036621094
53.0,66.0,422.0,128.88475036621094
54.0,66.0,422.0,128.88475036621094
55.0,66.0,422.0,128.88475036621094
56.0,66.0,422.0,128.88475036621094
57.0,66.0,422.0,128.88475036621094
58.0,66.0,422.0,128.88475036621094
59.0,66.0,422.0,128.88475036621094
60.0,66.0,422.0,128.88475036621094
61.0,66.0,422.0,128.88475036621094
62.0,101.0,391.0,273.879638671875
63.0,101.0,391.0,273.879638671875
64.0,101.0,391.0,273.879638671875
65.0,101.0,391.0,273.879638671875
66.0,101.0,391.0,273.879638671875
67.0,101.0,391.0,273.879638671875
68.0,101.0,391.0,273.879638671875
69.0,101.0,391.0,273.879638671875
70.0,101.0,391.0,273.879638671875
71.0,66.0,413.0,115.76278686523438
72.0,66.0,413.0,115.76278686523438
