X Coord,Y Coord
25.0,286.0
25.0,286.0
25.0,286.0
25.0,286.0
25.0,286.0
25.0,286.0
25.0,282.0
25.0,282.0
25.0,282.0
25.0,282.0
25.0,282.0
25.0,282.0
25.0,282.0
25.0,282.0
25.0,282.0
25.0,282.0
25.0,282.0
26.0,281.0
26.0,281.0
26.0,281.0
26.0,281.0
26.0,281.0
26.0,281.0
26.0,281.0
26.0,281.0
26.0,281.0
25.0,283.0
25.0,283.0
25.0,283.0
25.0,283.0
25.0,283.0
25.0,283.0
25.0,283.0
25.0,283.0
25.0,283.0
26.0,282.0
26.0,282.0
26.0,282.0
26.0,282.0
26.0,282.0
26.0,282.0
26.0,282.0
26.0,282.0
26.0,282.0
26.0,282.0
26.0,282.0
26.0,282.0
24.0,285.0
24.0,285.0
24.0,285.0
24.0,285.0
24.0,285.0
24.0,285.0
24.0,285.0
24.0,285.0
24.0,285.0
25.0,283.0
25.0,283.0
25.0,283.0
25.0,283.0
25.0,283.0
25.0,283.0
25.0,283.0
25.0,283.0
25.0,283.0
25.0,278.0
25.0,278.0
25.0,278.0
25.0,278.0
25.0,278.0
25.0,278.0
25.0,278.0
25.0,278.0
25.0,278.0
25.0,278.0
25.0,278.0
26.0,286.0
26.0,286.0
26.0,286.0
26.0,286.0
26.0,286.0
26.0,286.0
26.0,286.0
26.0,286.0
26.0,285.0
26.0,285.0
26.0,285.0
26.0,285.0
26.0,285.0
26.0,285.0
26.0,285.0
26.0,285.0
26.0,285.0
26.0,285.0
26.0,285.0
26.0,285.0
24.0,283.0
24.0,283.0
24.0,283.0
24.0,283.0
24.0,283.0
24.0,283.0
24.0,283.0
24.0,283.0
24.0,283.0
27.0,285.0
27.0,285.0
27.0,285.0
27.0,285.0
27.0,285.0
27.0,285.0
27.0,285.0
27.0,285.0
27.0,285.0
26.0,281.0
26.0,281.0
26.0,281.0
26.0,281.0
26.0,281.0
26.0,281.0
26.0,281.0
26.0,281.0
26.0,281.0
26.0,281.0
26.0,281.0
26.0,281.0
26.0,283.0
26.0,283.0
26.0,283.0
26.0,283.0
26.0,283.0
26.0,283.0
26.0,283.0
26.0,283.0
26.0,283.0
25.0,283.0
25.0,283.0
25.0,283.0
25.0,283.0
25.0,283.0
25.0,283.0
25.0,283.0
24.0,279.0
24.0,279.0
24.0,279.0
24.0,279.0
24.0,279.0
24.0,279.0
24.0,279.0
24.0,279.0
24.0,279.0
24.0,279.0
24.0,279.0
24.0,282.0
24.0,282.0
24.0,282.0
24.0,282.0
24.0,282.0
24.0,282.0
24.0,282.0
24.0,282.0
23.0,287.0
23.0,287.0
23.0,287.0
23.0,287.0
23.0,287.0
23.0,287.0
23.0,287.0
23.0,287.0
23.0,287.0
23.0,287.0
23.0,287.0
25.0,284.0
25.0,284.0
25.0,284.0
25.0,284.0
25.0,284.0
25.0,284.0
25.0,284.0
25.0,284.0
26.0,283.0
26.0,283.0
26.0,283.0
26.0,283.0
26.0,283.0
26.0,283.0
26.0,283.0
26.0,283.0
26.0,283.0
25.0,286.0
25.0,286.0
25.0,286.0
25.0,286.0
25.0,286.0
25.0,286.0
25.0,286.0
25.0,286.0
25.0,286.0
25.0,286.0
25.0,286.0
25.0,286.0
25.0,288.0
25.0,288.0
25.0,288.0
25.0,288.0
25.0,288.0
25.0,288.0
25.0,288.0
25.0,288.0
25.0,288.0
24.0,287.0
24.0,287.0
24.0,287.0
24.0,287.0
24.0,287.0
24.0,287.0
24.0,287.0
24.0,287.0
24.0,287.0
25.0,281.0
25.0,281.0
25.0,281.0
25.0,281.0
25.0,281.0
25.0,281.0
25.0,281.0
25.0,281.0
25.0,281.0
25.0,281.0
24.0,290.0
24.0,290.0
24.0,290.0
24.0,290.0
24.0,290.0
24.0,290.0
24.0,290.0
24.0,290.0
24.0,290.0
24.0,290.0
25.0,281.0
25.0,281.0
25.0,281.0
25.0,281.0
25.0,281.0
25.0,281.0
25.0,281.0
25.0,281.0
25.0,281.0
25.0,281.0
25.0,281.0
25.0,277.0
25.0,277.0
25.0,277.0
25.0,277.0
25.0,277.0
25.0,277.0
25.0,277.0
25.0,277.0
25.0,277.0
26.0,282.0
26.0,282.0
26.0,282.0
26.0,282.0
26.0,282.0
26.0,282.0
26.0,282.0
26.0,282.0
26.0,282.0
26.0,284.0
26.0,284.0
26.0,284.0
26.0,284.0
26.0,284.0
26.0,284.0
26.0,284.0
26.0,284.0
26.0,284.0
26.0,284.0
26.0,284.0
26.0,284.0
26.0,277.0
26.0,277.0
26.0,277.0
26.0,277.0
26.0,277.0
26.0,277.0
26.0,277.0
26.0,277.0
26.0,277.0
26.0,277.0
24.0,282.0
24.0,282.0
24.0,282.0
24.0,282.0
24.0,282.0
24.0,282.0
24.0,282.0
24.0,282.0
24.0,282.0
26.0,287.0
